tr,rms_db
0,-117.77067371380978
1,-19.181368184174673
2,-17.593847130921105
3,-18.435794503489966
4,-19.772437817257554
5,-19.717689213143764
6,-25.069617507546567
7,-17.62184829273842
8,-18.668601867995175
9,-20.181370636496467
10,-19.95356074543857
11,-18.766858451010677
12,-22.412061581694054
13,-22.67237644259636
14,-22.292348308035145
15,-24.30126365328059
16,-21.05324848842812
17,-23.50788409649738
18,-25.93113274914685
19,-21.974981991129244
20,-23.787440079795815
21,-22.155197820749677
22,-22.523189668149225
23,-23.161780074816278
24,-22.137309437476414
25,-22.328418450244925
26,-22.704013398252005
27,-22.556547353414924
28,-23.18697530941779
29,-20.842164368887914
30,-22.33414180037222
31,-22.09900099599869
32,-22.060173968311783
33,-18.599273204641296
34,-23.230893326280146
35,-19.318285697215927
36,-18.975996364906784
37,-20.652866569355467
38,-20.419059278797747
39,-22.524582422006453
40,-24.363848250582578
41,-18.833930985018036
42,-20.09716066483817
43,-23.54453819050372
44,-19.24835236248192
45,-21.78570730991487
46,-23.1466983588958
47,-28.83768281105209
48,-46.86209629955762
49,-43.72965661553047
50,-22.39088232247902
51,-19.788535877046765
52,-19.30505105020758
53,-24.78190759338641
54,-180.0
55,-180.0
56,-180.0
57,-26.436779629832124
58,-19.91542879480457
59,-20.78888058762415
60,-22.578874277549836
61,-23.979196347957217
62,-24.187625919147052
63,-20.977240908514894
64,-20.845520740892567
65,-21.168094822148035
66,-26.165033491003285
67,-24.095005504239964
68,-21.810525843425637
69,-21.63739120487234
70,-20.73302268702459
71,-20.446150252309202
72,-21.86361802621431
73,-19.38942297965774
74,-21.791784773216968
75,-20.476696722039563
76,-24.965459818307913
77,-19.92117646373773
78,-21.237986537130162
79,-20.907813204247105
80,-20.675963829374858
81,-21.32674023041637
82,-18.94276738930305
83,-19.192943485384294
84,-20.769160502923697
85,-21.08586544904597
86,-21.631999304031172
87,-20.750075725970643
88,-25.06690904564364
89,-20.30436759298969
90,-25.29537339077158
91,-22.680410319145366
92,-20.46202423650115
93,-24.546418609370008
94,-22.056247931831617
95,-21.087367015905137
96,-21.068285434694868
97,-22.90681307486001
98,-24.64839110506839
99,-25.25542370747821
100,-22.328812488283912
101,-20.123137554619998
102,-28.531591919465882
103,-27.894148276751316
104,-23.61589873848789
105,-19.774338003087458
106,-31.38989844914368
107,-24.54342698044887
108,-29.741053153998752
109,-25.7252503170306
110,-40.36109102666522
111,-31.42357677064652
112,-24.638187718134354
113,-24.063905531062755
114,-21.934191565004205
115,-23.64649902344069
116,-23.317040380067546
117,-20.558489830924444
118,-20.15428347376263
119,-21.061306628187296
120,-21.69324529418312
121,-26.84623329868716
122,-22.635813219587067
123,-22.684152473756598
124,-27.08825300235764
125,-18.66835712342469
126,-26.895347742012685
127,-35.15117539320255
128,-40.95062315087609
129,-26.44773571400384
130,-25.06529145935597
131,-23.173303181628675
132,-19.7533075588451
133,-20.84271729701146
134,-19.75415517127225
135,-20.70458986545585
136,-19.863834643398217
137,-24.54868450006749
138,-19.82295872854634
139,-23.379731661072057
140,-23.58730036956681
141,-21.376417200372714
142,-25.6501971388432
143,-23.909677979733278
144,-27.259264254167263
145,-23.028538121177874
146,-21.25345612984195
147,-23.06945009650196
148,-35.19797707684857
149,-31.12638947401292
150,-25.27661394857332
151,-23.822358227970298
152,-22.61129196107714
153,-37.648057418042036
154,-35.3445136978146
155,-29.38310930760588
156,-22.910191248367955
157,-26.511473522091467
158,-21.23555644022527
159,-24.204848180701
160,-31.518474228897414
161,-22.11230846802006
162,-21.737957067877147
163,-22.99369975567401
164,-27.672003796100665
165,-22.005968218950137
166,-22.776993855453043
167,-21.7348939699845
168,-26.329364426963878
169,-24.656385923163597
170,-21.22544779524695
171,-24.215440549840284
172,-23.92074386222276
173,-34.29170490344043
174,-19.350071291299727
175,-41.71922873537746
176,-24.406065367852165
177,-23.81008612119235
178,-32.832078359153776
179,-19.95483396128676
180,-22.80982358329772
181,-26.452239409337416
182,-25.991085392804592
183,-19.583156740597005
184,-27.35971874028611
185,-20.68050738772552
186,-23.90092547451293
187,-29.924640677284057
188,-31.64311387807464
189,-22.74758867850146
190,-18.606266495606533
191,-24.756209388245686
192,-22.619523491272766
193,-23.298660127882407
194,-24.773096338899375
195,-20.596580425280102
196,-34.284190043589874
197,-26.343434269426844
198,-21.500429398196594
199,-23.300995720602813
200,-20.770775397246165
201,-22.206908761172052
202,-23.9091735459403
203,-19.132189101753244
204,-18.454611975850913
205,-20.01875560320313
206,-21.211316830344813
207,-19.012881245855894
208,-19.678968651039646
209,-20.084404635182768
210,-20.940314122464947
211,-19.636400057293795
212,-21.888634335178516
213,-22.222437650643073
214,-22.813119509720554
215,-24.056190821863062
216,-21.786728056822714
217,-19.860762768220532
218,-20.866860663535135
219,-19.909950011746893
220,-26.517723719951228
221,-19.27428671245369
222,-23.40631959629023
223,-21.190732107220114
224,-25.335268997806438
225,-29.499499859859853
226,-20.116214220803982
227,-23.785131009667204
228,-27.6184790671911
229,-19.47115041379774
230,-23.78019373609852
231,-24.982900965752258
232,-28.27862504041212
233,-29.945709275002276
234,-26.133616368632808
235,-27.164500546122824
236,-25.05496750172451
237,-24.49109584826553
238,-24.211227743676844
239,-21.0284755360183
240,-21.467119817863896
241,-25.569751684727585
242,-21.89578701305354
243,-22.25358057483282
244,-25.17984003527198
245,-23.942858036767362
246,-25.89508735415137
247,-22.57032542778823
248,-21.53713670897208
249,-20.51606107755273
250,-28.901433029319165
251,-24.572187187857104
252,-20.74837339529965
253,-25.407810605324173
254,-21.16261086163943
255,-23.169186088283556
256,-24.77416888369861
257,-21.63886249736914
258,-21.270432212394823
259,-19.74331785010005
260,-19.735393832090743
261,-23.921383127901386
262,-25.355491999729235
263,-21.101872454650177
264,-23.039079913589347
265,-22.736394136889086
266,-26.068721336682362
267,-23.74514077849821
268,-20.462038261403652
269,-20.52427107851519
270,-22.65402099050673
271,-22.933063070508915
272,-21.7942533001903
273,-23.50013920675501
274,-22.043581437233286
275,-22.994356608672902
276,-24.235901425962574
277,-22.636009429536657
278,-19.557483552549414
279,-22.277168555070567
280,-22.14944447410793
281,-22.3136077917611
282,-22.883587083131175
283,-21.907441119680794
284,-25.686704525344297
285,-19.627823975153042
286,-22.081203926184493
287,-21.229039261933732
288,-23.644372797279516
289,-19.54326951191199
290,-24.69614375709419
291,-25.375368782812203
292,-21.515039245883905
293,-22.22597803575724
294,-20.748508966093162
295,-26.49064220879874
296,-29.370215285233318
297,-23.153590071542244
298,-25.24936505402632
299,-22.314865512959663
300,-25.042216234025993
301,-24.252382145119974
302,-22.33285236465914
303,-22.57022010006825
304,-28.610477500376636
305,-22.957248139618383
306,-22.404580429633228
307,-21.458150269853462
308,-23.00889838870182
309,-23.570662073797486
310,-22.9377639573027
311,-22.918171259519077
312,-27.851615890156317
313,-23.182514379829033
314,-23.491783962356998
315,-26.13667163645813
316,-21.27936358017315
317,-22.9762735060058
318,-25.387653815815913
319,-22.893417989325734
320,-19.45020311874148
321,-22.576381816339364
322,-22.500324857561324
323,-21.241403275206284
324,-23.987517511843443
325,-23.464868242657193
326,-23.657807502397073
327,-24.213944650102324
328,-26.201253370231324
329,-28.841339745954393
330,-21.2620461162533
331,-20.283585844074224
332,-24.625389139962284
333,-22.529918823593682
334,-18.642185255326766
335,-27.017310592116196
336,-23.793419950146244
337,-22.89612781672637
338,-19.563956506452126
339,-24.24632762853392
340,-24.766843017309338
341,-19.21934059938984
342,-21.582352028790513
343,-22.942832423154286
344,-20.157651726537992
345,-21.728881760423093
346,-21.395820240113178
347,-21.948984920262543
348,-18.886210405337767
349,-20.586264568581992
350,-19.318773143617996
351,-21.904874573896382
352,-22.588446362414487
353,-24.716953182694752
354,-24.847945685894718
355,-23.806928805499695
356,-24.761372667696257
357,-23.510164786754096
358,-27.83188771886276
