tr,rms_db
0,-28.799988934235856
1,-21.431907463325754
2,-18.49015813439699
3,-20.024963779868518
4,-19.852125037935735
5,-21.61932275195307
6,-24.633163272091124
7,-17.89433011279038
8,-21.131832629774635
9,-23.91439036431976
10,-23.26015128087076
11,-22.548866384777376
12,-21.322988783152002
13,-20.363789484057087
14,-22.224782776437664
15,-26.563132460248454
16,-22.147507317606426
17,-21.4310662084967
18,-19.16432274869905
19,-20.319809804917476
20,-22.246989413726368
21,-22.4530910439023
22,-46.394732566475916
23,-32.61665388012341
24,-23.391917939998695
25,-20.6032730146502
26,-21.06855338332253
27,-19.02308049729075
28,-21.70545315458089
29,-22.443334472763237
30,-21.60578197522454
31,-24.015461257839462
32,-25.022209865437546
33,-22.024841651022804
34,-23.311493464524496
35,-23.69710314191247
36,-23.503483270711026
37,-27.524759058523593
38,-27.254021389244834
39,-20.82313839018167
40,-25.11773570854109
41,-22.0332613493729
42,-24.579180584841957
43,-23.594389137374392
44,-24.15623383830951
45,-26.51612033631746
46,-32.39243005218021
47,-32.298640972583605
48,-31.828487163395902
49,-23.424211961671404
50,-20.424007581029283
51,-24.579023403917176
52,-27.659802192044985
53,-22.638173411735355
54,-26.37630939300393
55,-19.93374321902931
56,-26.317657162564654
57,-23.126604002399638
58,-19.8962277634953
59,-21.958311358979643
60,-20.993760290951894
61,-22.78407905000432
62,-23.284970601649423
63,-25.051053277172723
64,-33.82447204271329
65,-26.354484734615763
66,-23.968437245480317
67,-25.729341991476225
68,-26.837614832526732
69,-20.9507124441556
70,-20.23419371127875
71,-21.65755853021293
72,-24.54835254263965
73,-19.35315345491967
74,-20.26936452568708
75,-22.50439133656213
76,-22.598191446882847
77,-27.80747913500076
78,-23.900812322558885
79,-21.51941860297875
80,-23.358374566496988
81,-23.41325154812712
82,-21.744600430800954
83,-20.730196538791795
84,-22.887191246673233
85,-26.944558263874946
86,-20.858188660492615
87,-23.954111982515943
88,-22.999449166545205
89,-24.346441885888797
90,-22.071788738670936
91,-24.452104561113813
92,-23.019397146254434
93,-24.723029823946142
94,-23.213903976358658
95,-22.273123801492876
96,-25.213482699211603
97,-22.235014921042552
98,-23.202577851132208
99,-23.439606118091113
100,-23.075350518302923
101,-20.805912375513827
102,-20.576707557611886
103,-21.57622833074332
104,-22.927236300209543
105,-22.93914146071718
106,-19.36682956491515
107,-23.158188475543525
108,-21.399148923145663
109,-21.859276976850246
110,-20.78658471052734
111,-21.918039213865942
112,-24.565823860204357
113,-21.85374302134583
114,-21.530048563700298
115,-20.537477191494364
116,-26.658987620424533
117,-29.592219554427533
118,-20.079539056655882
119,-28.401665720213213
120,-22.20764115035555
121,-21.812245347457782
122,-20.482482783097776
123,-21.824404626406753
124,-20.557535696577208
125,-24.55253740425983
126,-21.863825274537856
127,-21.45725584497985
128,-19.522588403577636
129,-22.52575970531126
130,-18.771027832564304
131,-21.39967712558652
132,-23.583433006276437
133,-22.171639884923273
134,-21.99644062086042
135,-23.484363609533876
136,-24.11102620351457
137,-24.595353797716353
138,-22.957336914127534
139,-23.48264097138646
140,-25.3565172692713
141,-23.611415665491432
142,-23.38140965895315
143,-29.812035479413144
144,-24.405699669253757
145,-21.200774809484134
146,-27.80321333657269
147,-44.188672594461245
148,-20.76550283098054
149,-25.796247010661787
150,-27.030543845312522
151,-28.7988983219617
152,-23.977839294610128
153,-22.68013719512263
154,-24.933787533916668
155,-27.98907685645018
156,-27.553119699417245
157,-28.252726794966026
158,-24.4029889639538
159,-21.14379315738567
160,-22.71021672688244
161,-22.623848478557214
162,-23.99113759173332
163,-20.74212734199346
164,-22.22371123312889
165,-22.276786834946147
166,-24.578057517056585
167,-19.354425040432584
168,-22.470141115936016
169,-21.076752738140204
170,-20.153789007514085
171,-20.268131948882004
172,-19.901611956812083
173,-22.037601326658528
174,-23.792693526379928
175,-22.27335282024448
176,-24.61336525586194
177,-24.90085813222718
178,-23.940689021865342
179,-23.869116374364125
180,-25.943552086141924
181,-23.004130871858525
182,-22.572498813692636
183,-24.09702197729514
184,-28.86225206097174
185,-24.531772914438925
186,-23.181141242605268
187,-24.625003298341138
188,-24.983817173111728
189,-27.10966907673727
190,-24.814750332624488
191,-42.92008101609711
192,-43.916723543811294
193,-35.60694482770612
194,-23.86934169884907
195,-34.738519697371814
196,-33.549918123853516
197,-22.093202864208244
198,-22.177248947951547
199,-19.610783873170618
200,-20.54282672461445
201,-19.93122484890469
202,-26.228830720824533
203,-22.991152369636872
204,-30.174652835464578
205,-27.554938776240046
206,-23.685073674096895
207,-24.017225018035553
208,-18.06340370936695
209,-19.34936380569979
210,-22.225605155430273
211,-23.0138849687323
212,-34.5778271823067
213,-32.54863695981889
214,-25.98295113509735
215,-24.466526851768432
216,-21.634417908571603
217,-21.6311837856728
218,-21.041000186615424
219,-20.733184428729228
220,-23.129933712490015
221,-22.183199117297754
222,-20.8091787021772
223,-21.534225825697032
224,-20.250315013237415
225,-23.355688183465514
226,-24.189515245456192
227,-20.639500847358118
228,-20.596478435283743
229,-19.776064840930633
230,-21.728460882555517
231,-23.874505314406775
232,-25.644082896161663
233,-22.012559473563936
234,-21.646918789325387
235,-22.551342820703088
236,-22.381519188880752
237,-23.77477147039179
238,-19.0525496229549
239,-20.7410919108862
240,-36.349063649602
241,-23.103702408371348
242,-20.450539509529406
243,-21.22113460191608
244,-20.068501859735438
245,-20.606920602585454
246,-21.732315530018347
247,-27.99118814109354
248,-21.71080409813942
249,-24.88705370354896
250,-24.38259378314236
251,-25.297788000152536
252,-22.60635651368122
253,-27.35588554425852
254,-27.038458098508915
255,-25.05402696254787
256,-25.699245594644722
257,-27.47705391678784
258,-29.611621984559164
259,-29.299113043536828
260,-27.508360422159548
261,-25.273634061159903
262,-26.183646318469762
263,-20.591639074403204
264,-20.660036682796115
265,-20.886332269706685
266,-23.14023790978659
267,-22.25014330523124
268,-24.09783131154157
269,-24.324038357613023
270,-22.356029839070164
271,-22.710006676275277
272,-20.702028909639626
273,-26.133580900641817
274,-21.97894767030987
275,-22.65707746719543
276,-22.14334978518645
277,-23.25786785562211
