tr,rms_db
0,-25.748589348577873
1,-20.903442666581654
2,-19.754073557172426
3,-18.333933109980183
4,-18.63765770277936
5,-18.946511202791637
6,-18.18147368824396
7,-20.897414682675354
8,-20.65007608412815
9,-26.067072055073965
10,-18.418994509594818
11,-22.06677366584049
12,-20.95809767004535
13,-23.809780164988013
14,-20.109584901296508
15,-26.774057749232675
16,-30.451458030090997
17,-25.11351296469721
18,-23.8293134910545
19,-28.582771288482952
20,-24.386688001848817
21,-46.88621045039643
22,-18.817597661347904
23,-21.94508117738998
24,-35.06113946353478
25,-30.787704281278522
26,-25.075879445429802
27,-21.40179561678954
28,-17.1898631151718
29,-16.243106698068534
30,-17.52184392176796
31,-20.472201754223306
32,-20.15378856861847
33,-23.609688453583097
34,-29.863336545913178
35,-25.379853831488276
36,-24.58890713723782
37,-19.33634565331721
38,-19.482934659895232
39,-22.71503911029422
40,-20.210517426746627
41,-20.559248408316982
42,-20.472185092718785
43,-20.66805721359867
44,-24.31431816259679
45,-19.79508806657975
46,-22.81941986801762
47,-20.163464080328005
48,-22.289731949831868
49,-22.489925949202263
50,-20.398546442691856
51,-20.07268723978591
52,-21.924578023401544
53,-22.488987627187175
54,-20.78383193359055
55,-20.594443340069724
56,-23.51027570752061
57,-22.11118948735749
58,-23.739533177517643
59,-21.94775122094018
60,-22.733233268263714
61,-24.345995728180377
62,-26.66839325761748
63,-19.35999008687197
64,-22.5593563632125
65,-28.329855445914937
66,-30.94614072249181
67,-26.807182543929116
68,-18.841876550240684
69,-22.55775450593866
70,-22.42388245634792
71,-22.735024357321038
72,-21.209742523357402
73,-31.860384588263585
74,-23.403087992368118
75,-17.482037222330135
76,-16.893409823915235
77,-20.19424259524282
78,-25.397614370044515
79,-21.64492369220069
80,-20.281577517971414
81,-23.070666845247864
82,-18.503516409752795
83,-22.126667567189635
84,-21.00178441783835
85,-22.418157515357922
86,-26.18221385000553
87,-22.988412717018445
88,-23.24492127949407
89,-23.308617386404826
90,-22.85317805807811
91,-20.94054825804317
92,-21.511812813756265
93,-22.8845261398687
94,-24.949978183701937
95,-21.88286293826979
96,-25.644346658030845
97,-25.79988719799526
98,-20.225796584354203
99,-23.942280378945465
100,-21.373593732616225
101,-23.70677537619256
102,-32.1473673042965
103,-20.081343537306932
104,-21.2849511313491
105,-19.523564661547645
106,-20.384187505259046
107,-24.94360604113767
108,-24.859348945649586
109,-22.497396091563765
110,-21.976542826810178
111,-24.504418845244103
112,-26.576188250219065
113,-22.366636484130048
114,-23.840030606921246
115,-21.03810920183951
116,-20.742544534330808
117,-20.199255790401867
118,-19.98035835370851
119,-20.59919509509971
120,-19.931845240432978
121,-19.41335921264657
122,-21.13028279420447
123,-24.65092254478489
124,-26.966991950489202
125,-29.95737763586164
126,-29.136799015572947
127,-21.634364036423065
128,-25.813412630298224
129,-24.622605410826964
130,-20.859002382716028
131,-19.17858554918172
132,-24.253684550645296
133,-28.327003241829985
134,-26.745035253882172
135,-23.206210046791007
136,-22.98314511328037
137,-22.62094899259207
138,-22.490095947777302
139,-22.26650715850182
140,-19.1997154770741
141,-20.110863350361857
142,-22.27871324913645
143,-19.75881893537161
144,-21.056977020627933
145,-20.294097967934853
146,-18.557664291265
147,-18.161201208396033
148,-18.107143816870096
149,-19.540906129448977
150,-23.861758431505685
151,-21.00088478723743
152,-35.76304962062204
153,-24.123884211973387
154,-27.98071889021697
155,-24.300182570105335
156,-21.685333268180283
157,-26.56288055668721
158,-25.352822734245592
159,-21.403731704906164
160,-24.588425212536144
161,-29.623369965438023
162,-38.825455766388764
163,-24.61492937825075
164,-27.499748022881295
165,-23.347018427804237
166,-20.801657657755293
167,-23.075396212644172
168,-21.483462741950213
169,-25.251914040875235
170,-20.28629080662067
171,-20.946547309404778
172,-21.97405239452491
173,-22.55517404256348
174,-28.995436535598614
175,-21.463075245364557
176,-33.20953824615133
177,-26.461767021238344
178,-25.895037290807586
179,-32.77462060141078
180,-23.156381362944806
181,-21.76834907990136
182,-21.606233865627505
183,-33.282011264467805
184,-26.64946378335401
185,-29.27230917306453
186,-23.332346733302224
187,-26.04681810353739
188,-25.743680499017408
189,-27.287785357149346
190,-24.61933234400935
191,-22.413252322425727
192,-26.978854802261296
193,-19.61640674340658
194,-24.846142750125107
195,-20.581424833662997
196,-20.449713093467242
197,-24.53882364383165
198,-24.732732195432252
199,-22.257205308699632
200,-22.867546423449316
201,-21.863284531176447
202,-22.79148762484975
203,-22.341363221294934
204,-20.114273534595675
205,-22.279588720063632
206,-22.751159696326816
207,-21.104849640245096
208,-20.157679042635287
209,-22.55464961733033
210,-21.143969554278073
211,-20.234449203356156
212,-23.29739949903892
213,-22.40906471305964
214,-24.694498070172173
215,-22.53132194224891
216,-21.961402190884574
217,-22.40366958583277
218,-21.078436928993597
219,-20.666405505361972
220,-22.836716731007268
221,-32.632437143769366
222,-44.623822547945984
223,-30.125517072237177
224,-22.720206921744474
225,-19.994157291376382
226,-24.806899490968668
227,-26.93862393497172
228,-22.342159325177825
229,-26.93978585110454
230,-24.73269186052552
231,-41.027292940869515
232,-27.56218866817251
233,-26.915387722656696
234,-24.743088515268244
235,-22.33180313929466
236,-22.9936157570678
237,-23.12812558767225
238,-20.178018661772192
239,-24.745401178702142
240,-24.990235008985735
241,-24.409409980835456
242,-26.64036785281665
243,-19.32523558040624
244,-18.97357679931947
245,-24.447195172205532
246,-30.057684422519873
247,-34.07717857730904
248,-30.941200098383316
249,-26.321108385219087
250,-27.83642761986291
251,-31.383599832390328
252,-24.118090927851053
253,-27.425011442547145
254,-28.236747108470347
255,-32.09185190310019
256,-42.55896030530171
257,-26.610553727068194
258,-26.734916534722174
259,-23.91469896374759
260,-26.0646320051646
261,-28.500357751151405
262,-35.28070162746071
263,-41.378657637285166
264,-21.48908004904372
265,-23.005611800368012
266,-25.16987250301812
267,-26.396458230009372
268,-20.736241419097095
269,-26.965869343694976
270,-31.169736664155757
271,-25.35770721077021
272,-25.28737826876865
273,-46.585548444154945
274,-26.301265054857165
275,-47.64646323390079
276,-23.924516032612964
277,-48.75936508621394
278,-46.79730892699696
279,-26.767471382868194
280,-34.61349702322336
281,-27.478456711247073
282,-37.76530414999985
283,-39.7651742142657
284,-38.7430864248159
285,-34.431470360972874
286,-30.077187662604036
287,-30.077853618060722
288,-26.559566876783016
289,-24.63297367338404
290,-26.30254376731815
291,-25.07499900945641
292,-26.249528832852725
293,-26.586010534007375
294,-26.201376730269345
295,-26.819001427913168
296,-28.33442138419347
297,-28.285386289085345
298,-28.063003972475936
299,-24.06881892291031
300,-26.424190372371214
301,-29.021591318319455
302,-23.948258793787637
303,-23.896654646941016
304,-23.338787261408427
305,-23.884635852564475
306,-29.11370737061373
307,-23.849833387371298
308,-24.78305629402858
309,-22.18449263175037
310,-22.970711911177794
311,-22.586297431545198
312,-36.69568239089884
313,-21.57957019192708
314,-22.356078756225124
315,-25.10649100492975
316,-24.315622555410346
317,-24.26982763945159
318,-23.775777602245917
319,-25.531739611866865
320,-24.923960599091654
321,-22.382664761276168
322,-23.44829859908304
323,-26.310131615147924
324,-27.058407307914937
325,-23.09670495942026
326,-20.049220036165593
327,-21.685979167430457
328,-24.137448832966776
329,-25.232278500853248
330,-22.083432175822033
331,-26.85628595264364
332,-25.17634304027435
333,-20.850962366617225
334,-26.76679011414345
335,-21.23542725188521
336,-24.023659851094777
337,-24.22807590454476
338,-20.46514932721842
339,-21.14366782775953
340,-27.130940693226325
341,-21.42372734685212
342,-20.402837451658296
343,-22.611163357468143
344,-21.985805907435434
345,-25.867137950477968
346,-28.98353917242226
347,-19.446200772635464
348,-27.00732141110794
349,-32.02992407321753
350,-24.98344758738957
351,-22.45917055975478
352,-24.160985448523213
353,-23.905284269510503
354,-26.930310438216413
355,-22.919187205882604
356,-32.001492363247756
357,-25.564914783150144
358,-17.408187135205903
359,-21.23694058079178
360,-20.9644564823599
361,-17.532188059288472
362,-22.387547948223087
363,-20.895379549854564
364,-20.19981327847676
365,-18.788566064562502
366,-20.64361143742235
367,-22.09646328416861
368,-21.525813953901135
369,-20.55621025233673
370,-20.969444948540144
371,-20.57576733656171
372,-20.632754061738193
373,-20.172423482719125
374,-19.82573326200058
375,-21.760830615656385
376,-21.230401538167555
377,-28.538286238883256
378,-22.644748407842012
379,-23.77498669234299
380,-24.24996810080385
381,-22.09251949982965
382,-42.46754167644147
383,-44.626842885649715
384,-31.726515805225297
385,-29.944267924608056
386,-25.45683632082927
387,-24.931598751724202
388,-26.18145274031629
389,-24.24072919931774
390,-25.820332035471807
391,-21.647887611278485
392,-24.488931159671502
393,-25.64804091143682
394,-26.312422252862838
395,-28.263359992010923
396,-26.4079154184276
397,-26.997750027916393
398,-30.10475657262496
399,-26.014065373917553
400,-35.01282008866706
401,-28.00564374398087
402,-23.835045755007364
403,-31.230658320420012
404,-23.155435036647432
405,-24.101906733523982
406,-26.355419072482803
407,-21.301001417635533
408,-20.39616383517252
409,-23.06874494105521
410,-20.205919082786124
411,-19.377431867894547
412,-21.381059385939416
413,-24.4055838893297
414,-20.337476946192083
415,-34.97447389749778
416,-39.47993654297998
417,-40.961712541571856
418,-39.81592722029333
419,-40.417514771810595
420,-23.47839442833763
421,-42.6673744143754
422,-42.32031474342976
423,-42.43383460117005
424,-41.323051027144984
425,-44.04786942136848
426,-70.71108102844012
427,-25.38628199957371
428,-21.91336118339043
429,-19.57128518458693
430,-20.87967460200263
431,-19.005372192760046
432,-19.712023840753552
433,-20.03599826549477
434,-19.526982055880396
435,-20.284530963277692
436,-20.063038677629773
437,-19.425004509714846
438,-18.63529148045226
439,-18.88280716184295
440,-19.57764653194375
441,-18.51848748763528
442,-19.886038542476033
443,-19.531285235401025
444,-18.602502051125228
445,-18.718130094987725
446,-19.071853119249308
447,-19.248654969096382
448,-21.34229762373529
449,-18.778496871599224
450,-21.073281589809056
451,-18.42010883292553
452,-20.444598031581457
453,-20.360968693112774
454,-19.98480777052865
455,-20.89496629136818
456,-21.25976486764476
457,-20.65167109469082
458,-20.297814418314225
459,-20.09612802551348
460,-21.433203070877003
461,-19.67847650667829
462,-20.169416101489993
463,-19.75336322428864
464,-20.002896539576675
465,-21.066346371701506
466,-19.360351588945402
467,-19.493511050568785
468,-21.0317656482825
469,-24.66222879164649
470,-24.129064174859508
471,-23.876766480289785
472,-23.043394363998733
473,-21.26959400262995
474,-20.306967686971706
475,-19.983368030325018
476,-20.47726085562997
477,-20.310019731876288
478,-20.193651120893907
479,-19.999905081268416
480,-20.280983269238728
481,-21.566631570016742
482,-21.018418429418038
483,-20.665984347540324
484,-19.595511511304313
485,-19.05567959758347
486,-18.51434675805195
487,-18.991193326088528
488,-18.0715483025519
489,-19.993051297381776
490,-26.28959656398417
491,-45.444873348398545
492,-86.87150574723064
493,-89.2978568916819
494,-19.560367508683818
495,-19.09177317591723
496,-19.36938065919521
497,-26.10804744488648
498,-54.9899332317727
499,-111.19819028450323
500,-180.0
501,-180.0
502,-180.0
503,-180.0
