tr,rms_db
0,-34.10967705120672
1,-22.026087739764396
2,-21.404295174901414
3,-23.532269464543955
4,-21.279815737794397
5,-23.041084754804984
6,-22.551830506963576
7,-27.78189267511995
8,-20.730025883080994
9,-21.552834549303462
10,-24.15592540868691
11,-21.414053709900678
12,-24.21939411279773
13,-22.827786631721395
14,-33.293353256615895
15,-25.292859737818716
16,-23.71003475513347
17,-36.96106594753468
18,-28.529910559411032
19,-25.870803637316406
20,-47.366362985965075
21,-24.740609110570983
22,-23.19866721312257
23,-22.209722123803818
24,-34.44002739350017
25,-34.743967605942174
26,-44.48966539002383
27,-45.93654788304519
28,-46.60619547741281
29,-24.969771146492317
30,-24.787388910560445
31,-22.57983383241982
32,-23.740395062461715
33,-25.07106441816965
34,-24.464510459412136
35,-46.05892176221917
36,-22.70725208105099
37,-25.34717910668222
38,-20.673306661988757
39,-26.653929862453488
40,-48.32503640470211
41,-23.45470466064893
42,-20.923994566163252
43,-19.639758964167143
44,-21.42414307209065
45,-19.040773067556128
46,-19.374750834424145
47,-20.37853948763219
48,-20.337609483955298
49,-30.43135979507757
50,-21.485953013705455
51,-22.661037756955864
52,-19.78264135294415
53,-19.18135035803712
54,-20.786755826566687
55,-22.556957418487364
56,-21.03449202816619
57,-26.689636757325967
58,-23.06518756419877
59,-29.31841253587087
60,-22.816319400726183
61,-22.20251329846995
62,-22.95809969884609
63,-21.216147742858077
64,-20.83501070569358
65,-19.103852837033834
66,-22.338765379803483
67,-21.413244594273337
68,-25.40456635075932
69,-20.291879993512612
70,-20.50243348534668
71,-31.56439920318798
72,-24.191256091290718
73,-22.806851124673347
74,-25.939373588689172
75,-22.254366572240187
76,-21.59305744560001
77,-41.334204881282204
78,-24.942056991110135
79,-24.911221534878507
80,-25.902092028010273
81,-26.899621224346582
82,-22.99608687726963
83,-20.217624140867706
84,-21.11974507370349
85,-22.042516851154566
86,-22.561735669138713
87,-21.571360761352693
88,-19.577850834005492
89,-20.505346256611944
90,-20.350931250304043
91,-20.87734164458589
92,-24.21902609364721
93,-23.217083081652625
94,-26.03662669825734
95,-19.845778235066838
96,-20.288731173704058
97,-19.98816342603295
98,-22.978328559896735
99,-22.22178649722851
100,-24.193732326416857
101,-23.837087434708074
102,-22.802943130246945
103,-20.349524412832793
104,-21.70104391155754
105,-21.437152163195968
106,-23.39355453236085
107,-22.759337604169545
108,-21.05969664456902
109,-25.11266162432236
110,-22.71561816559297
111,-21.27965014772103
112,-19.248259487977773
113,-25.696058266340316
114,-23.84544583075801
115,-22.240517030799566
116,-22.96915451822699
117,-20.709195640803955
118,-21.38831536446244
119,-23.4118235118142
120,-21.812988800905302
121,-19.627824626641768
122,-21.79670787029554
123,-21.71318894199412
124,-21.76743332510771
125,-22.94833179073042
126,-20.84802897136795
127,-21.598844260475964
128,-20.14116481621489
129,-20.70042160395878
130,-21.327881949403697
131,-20.199744125109504
132,-21.648917278064538
133,-21.200263093465406
134,-22.052844591353512
135,-22.192759074487878
136,-19.626684129942397
137,-21.138949588641104
138,-21.059281163642112
139,-24.508146033852096
140,-20.58920906835055
141,-21.473449546715415
142,-22.347468253956592
143,-20.40856999568988
144,-18.578883388319696
145,-19.78201374111251
146,-20.59337986263527
147,-24.454273351632718
148,-24.045309976399594
149,-23.926684036043667
150,-23.838496344373095
151,-22.42532112227938
152,-22.99582966200741
153,-21.81218315215932
154,-21.202545656011242
155,-22.837441125821535
156,-24.637819818631577
157,-33.65782255426044
158,-24.77806527493765
159,-21.57979108623146
160,-22.827009076933386
161,-22.03168926698023
162,-24.798594289758014
163,-19.960860672939884
164,-21.108483178586752
165,-27.296577056637148
166,-22.95897450614312
167,-22.912317541287706
168,-22.393440688343166
169,-22.007954701268325
170,-20.9177259744828
171,-21.72063437268325
172,-22.29930812751534
173,-19.30330484138811
174,-23.820257633008666
175,-24.54197999669255
176,-24.98791549935181
177,-25.77879309864706
178,-24.66248287091807
179,-24.667840426088464
180,-22.692990792920014
181,-22.012739694527458
182,-23.545931917410165
183,-24.49358632529004
184,-20.4212700240586
185,-18.513217672847766
186,-20.258536758448287
187,-23.531109426492435
188,-23.1380905407589
189,-21.410849247182178
190,-24.07194142144247
191,-26.201716787064285
192,-24.357419423067846
193,-25.831192096158656
